0,0
1,-1
2,126
3,149
4,287
5,310
6,440
7,463
8,592
9,615
10,743
11,766
12,868
13,891
14,964
15,987
16,1130
17,1153
18,1282
19,1305
20,1417
21,1440
22,1579
23,1602
24,1726
25,1749
26,1863
27,1886
28,1988
29,2011
30,2150
31,2173
32,2296
33,2319
34,2404
35,2427
36,2557
37,2580
38,2704
39,2727
40,2850
41,2873
42,2996
43,3019
44,3130
45,3153
46,3240
47,3263
48,3397
49,3420
50,3543
51,3566
52,3667
53,3690
54,3825
55,3848
56,3943
57,3966
58,4098
59,4121
60,4244
61,4267
62,4389
63,4412
64,4533
65,4556
66,4662
67,4685
68,4815
69,4838
70,4929
71,4952
72,5084
73,5107
74,5231
75,5254
76,5377
77,5400
78,5519
79,5542
80,5640
81,5663
82,5798
83,5821
84,5917
85,5940
