0,nan
1,0.035194
2,0.0146343
3,0.0239482
4,0.0324848
5,0.0431446
6,0.0116608
7,0.0135231
8,0.0321517
9,0.030638
10,0.0258656
11,0.0220238
12,0.0221448
13,0.0268957
14,0.0295949
15,0.0346529
16,0.0279098
17,0.0246598
18,0.0162382
19,0.0246131
20,0.0286206
21,0.032446
22,0.0242179
23,0.0187672
24,0.0341199
25,0.0343935
26,0.0217687
27,0.0217204
28,0.0119893
29,0.0369107
30,0.0277246
31,0.0328839
32,0.0364126
33,0.0150334
34,0.0402059
35,0.0227307
36,0.0275019
37,0.0275595
38,0.0179576
39,0.026289
40,0.0282694
41,0.0313494
42,0.0164896
