0,0
1,-3
2,118
3,147
4,279
5,308
6,432
7,461
8,584
9,613
10,735
11,764
12,860
13,889
14,956
15,985
16,1122
17,1151
18,1274
19,1303
20,1409
21,1438
22,1571
23,1600
24,1718
25,1747
26,1855
27,1884
28,1980
29,2009
30,2142
31,2171
32,2288
33,2317
34,2396
35,2425
36,2549
37,2578
38,2696
39,2725
40,2842
41,2871
42,2988
43,3017
44,3122
45,3151
46,3232
47,3261
48,3389
49,3418
50,3535
51,3564
52,3659
53,3688
54,3817
55,3846
56,3935
57,3964
58,4090
59,4119
60,4236
61,4265
62,4381
63,4410
64,4525
65,4554
66,4654
67,4683
68,4807
69,4836
70,4921
71,4950
72,5076
73,5105
74,5223
75,5252
76,5369
77,5398
78,5511
79,5540
80,5632
81,5661
82,5790
83,5819
84,5909
85,5938
