0,0.333984
1,0.38916
2,0.437744
3,0.47998
4,0.499756
5,0.494385
6,0.447021
7,0.372803
8,0.32251
9,0.268555
10,0.223877
11,0.206787
12,0.200928
13,0.205322
14,0.218262
15,0.241943
16,0.28125
17,0.325195
18,0.359375
19,0.380615
20,0.387939
21,0.385254
22,0.376709
23,0.340332
24,0.290527
25,0.240723
26,0.202148
27,0.181396
28,0.179443
29,0.189453
30,0.210449
31,0.229736
32,0.247559
33,0.260742
34,0.265381
35,0.265137
36,0.260254
37,0.246094
38,0.223877
39,0.201904
40,0.19043
41,0.186279
42,0.185059
43,0.186035
44,0.188965
45,0.191895
46,0.195312
47,0.197754
48,0.200195
49,0.202393
50,0.202148
51,0.198242
52,0.195068
53,0.191406
54,0.188477
55,0.186279
56,0.179688
57,0.164551
58,0.149902
59,0.141113
60,0.132812
61,0.125244
62,0.118896
63,0.111328
64,0.103027
65,0.0944824
66,0.0869141
67,0.0812988
68,0.0766602
69,0.0722656
70,0.067627
71,0.0637207
72,0.0612793
73,0.0598145
74,0.0588379
75,0.0576172
76,0.0566406
77,0.0551758
78,0.0539551
79,0.0527344
80,0.0500488
81,0.045166
82,0.0380859
83,0.0336914
84,0.0280762
85,0.0170898
86,0.00366211
87,-0.00415039
88,-0.0117188
89,-0.0195312
90,-0.0241699
91,-0.0266113
92,-0.0292969
93,-0.0332031
94,-0.0375977
95,-0.043457
96,-0.0505371
97,-0.0559082
98,-0.0615234
99,-0.0668945
100,-0.0710449
101,-0.0739746
102,-0.0766602
103,-0.0778809
104,-0.0759277
105,-0.0717773
106,-0.0681152
107,-0.0654297
108,-0.0629883
109,-0.0603027
110,-0.0581055
111,-0.0554199
112,-0.0517578
113,-0.0466309
114,-0.0429688
115,-0.0400391
116,-0.0373535
117,-0.0339355
118,-0.0297852
119,-0.0227051
120,-0.0148926
121,-0.0102539
122,-0.00634766
123,-0.00195312
124,0.00927734
125,0.0227051
126,0.0275879
127,0.029541
128,0.0307617
129,0.0317383
130,0.0327148
131,0.032959
132,0.0319824
133,0.0302734
134,0.0280762
135,0.0251465
136,0.0209961
137,0.0214844
138,0.0283203
139,0.032959
140,0.0366211
141,0.0395508
142,0.041748
143,0.0427246
144,0.0424805
145,0.0415039
146,0.0407715
147,0.0395508
148,0.0349121
149,0.0217285
150,0.00537109
151,-0.00805664
152,-0.017334
153,-0.0244141
154,-0.0292969
155,-0.0322266
156,-0.0344238
157,-0.0373535
158,-0.0400391
159,-0.0400391
160,-0.0366211
161,-0.0280762
162,-0.00952148
163,0.0102539
164,0.0273438
165,0.0361328
166,0.0446777
167,0.052002
168,0.0578613
169,0.0615234
170,0.0576172
171,0.0454102
172,0.0175781
173,-0.0241699
174,-0.0720215
175,-0.120605
176,-0.170166
177,-0.218262
178,-0.253174
179,-0.262695
180,-0.259521
181,-0.233643
182,-0.191895
183,-0.138428
184,-0.0766602
185,-0.0192871
186,0.0273438
187,0.0610352
188,0.0715332
189,0.0673828
190,0.0354004
191,-0.020752
192,-0.092041
193,-0.171143
194,-0.247314
195,-0.312988
196,-0.368408
197,-0.416016
198,-0.457275
199,-0.48877
200,-0.5
201,-0.498535
202,-0.47876
203,-0.444336
204,-0.407227
205,-0.37085
206,-0.334961
207,-0.301514
208,-0.270752
209,-0.240967
210,-0.213867
211,-0.191895
212,-0.174316
213,-0.166016
214,-0.154785
215,-0.143066
216,-0.127441
217,-0.111084
218,-0.095459
219,-0.0793457
220,-0.0708008
221,-0.064209
222,-0.059082
223,-0.0529785
224,-0.0449219
225,-0.0366211
226,-0.0322266
227,-0.029541
228,-0.0258789
229,-0.0217285
230,-0.0148926
231,-0.00341797
232,0.00708008
233,0.0134277
234,0.0168457
235,0.019043
236,0.0212402
237,0.0236816
238,0.0253906
239,0.0239258
240,0.0212402
241,0.0195312
242,0.0180664
243,0.0168457
244,0.0153809
245,0.0141602
246,0.0129395
247,0.0117188
248,0.010498
249,0.00927734
250,0.00708008
251,0.00244141
252,-0.00341797
253,-0.00585938
